dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap	fbp_dhap_grap	g6p	glc	grap	ins_ext	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
16.65	mM												0.2508915849575783														mM	concentration	all	mean	Experiment11
16.7	mM												0.25121487230820194														mM	concentration	all	mean	Experiment11
18.0009941638897	mM												0.25911839997514624														mM	concentration	all	mean	Experiment11
18.16	mM												0.2600168265601418														mM	concentration	all	mean	Experiment11
18.87	mM												0.26384755959465417														mM	concentration	all	mean	Experiment11
20.0	mM												0.2693299546102216														mM	concentration	all	mean	Experiment11
22.0645470110646	mM												0.27736914672851287														mM	concentration	all	mean	Experiment11
22.2	mM												0.27780615402931047														mM	concentration	all	mean	Experiment11
26.0581401771084	mM												0.2854745659279438														mM	concentration	all	mean	Experiment11
27.7	mM												0.2858809147749065														mM	concentration	all	mean	Experiment11
27.75	mM												0.2858660078168038														mM	concentration	all	mean	Experiment11
27.8	mM												0.2858494787290496														mM	concentration	all	mean	Experiment11
																															
0.62646525679758	mM													1.1671269280558478													mM	concentration	all	mean	Experiment12
1.40954682779456	mM													1.6444837792109275													mM	concentration	all	mean	Experiment12
2.03601208459214	mM													2.0493590111813136													mM	concentration	all	mean	Experiment12
3.75096079938507	mM													3.2645715985646055													mM	concentration	all	mean	Experiment12
5.16333589546502	mM													4.3860072586122865													mM	concentration	all	mean	Experiment12
6.56033820138354	mM													5.605711572597774													mM	concentration	all	mean	Experiment12
10.0	mM													9.096397677095476													mM	concentration	all	mean	Experiment12
10.6245196003074	mM													9.807136177611003													mM	concentration	all	mean	Experiment12
16.0	mM													16.95904599936849													mM	concentration	all	mean	Experiment12
16.7	mM													18.032038985731248													mM	concentration	all	mean	Experiment12
16.7428900845503	mM													18.098880427175363													mM	concentration	all	mean	Experiment12
17.8583781706379	mM													19.882250021193784													mM	concentration	all	mean	Experiment12
20.0	mM													23.55307380159323													mM	concentration	all	mean	Experiment12
21.9158339738662	mM													27.119527033078516													mM	concentration	all	mean	Experiment12
25.0211375864719	mM													33.48788426584552													mM	concentration	all	mean	Experiment12
25.8368562644119	mM													35.28476170622258													mM	concentration	all	mean	Experiment12
25.9021906225979	mM													35.43095542462358													mM	concentration	all	mean	Experiment12
30.8954650269023	mM													47.62946416247531													mM	concentration	all	mean	Experiment12
																															
2.8	mM														0.0030532558036224897												mM	concentration	all	mean	Experiment13
20.0	mM														0.015096024058022583												mM	concentration	all	mean	Experiment13
																															
20.0	mM															ValueErrorMessage: param. not float or list of floats											mM	concentration	all	mean	Experiment14
																															
1.0	mM																1.0815032144831176										mM	concentration	all	mean	Experiment15
2.0	mM																1.1625143180880833										mM	concentration	all	mean	Experiment15
