dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap_grap	g6p	glc	grap	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
																													
0.0	mM 															0.5752367366675536									mM 	concentration	rat	Malaisse1977_Ess115	Experiment200
11.1	mM 															0.8693497133185448									mM 	concentration	rat	Malaisse1977_Ess115	Experiment200
27.8	mM 															0.8480102859905548									mM 	concentration	rat	Malaisse1977_Ess115	Experiment200
																													
0.0	mM 															0.6461802591811255									mM 	concentration	rat	Sener1978_Ess171	Experiment201
16.7	mM 															0.8389391161571902									mM 	concentration	rat	Sener1978_Ess171	Experiment201
																													
1.67	mM 															0.5924635617553297									mM 	concentration	rat	Ammon1979_Etc12	Experiment202
11.1	mM 															0.8711841043545122									mM 	concentration	rat	Ammon1979_Etc12	Experiment202
																													
1.67	mM 																0.1514024903304526								mM 	concentration	rat	Ammon1979_Ess5	Experiment203
11.1	mM 																0.2586459209811899								mM 	concentration	rat	Ammon1979_Ess5	Experiment203
																													
8.3	mM 																0.21512179473122625								mM 	concentration	rat	Ammon1998_Ess13	Experiment204
11.1	mM 																0.2374660626097322								mM 	concentration	rat	Ammon1998_Ess13	Experiment204
16.7	mM 																0.3201599714631004								mM 	concentration	rat	Ammon1998_Ess13	Experiment204
																													
2.8	mM 																0.20612525959364233								mM 	concentration	rat	Ammon1998_Ess17	Experiment205
8.3	mM 																0.22750121244038984								mM 	concentration	rat	Ammon1998_Ess17	Experiment205
11.1	mM 																0.23420176622389458								mM 	concentration	rat	Ammon1998_Ess17	Experiment205
16.7	mM 																0.2841621208564639								mM 	concentration	rat	Ammon1998_Ess17	Experiment205
28.0	mM 																0.3354278852654356								mM 	concentration	rat	Ammon1998_Ess17	Experiment205
																													
0.0	mM 																0.0794594528725391								mM 	concentration	rat	Malaisse1977_Ess116	Experiment206
11.1	mM 																0.30837835281485415								mM 	concentration	rat	Malaisse1977_Ess116	Experiment206
27.8	mM 																0.2572972759682219								mM 	concentration	rat	Malaisse1977_Ess116	Experiment206
																													
0.0	mM 																0.16158131563863112								mM 	concentration	rat	Sener1978_Ess172	Experiment207
16.7	mM 																0.2839914032436547								mM 	concentration	rat	Sener1978_Ess172	Experiment207
																													
1.67	mM 																0.1514024903304526								mM 	concentration	rat	Ammon1979_Etc13	Experiment208
11.1	mM 																0.2586459209811899								mM 	concentration	rat	Ammon1979_Etc13	Experiment208
																													
4.0	mM 																0.1776365790311916								mM 	concentration	rat	Trus1979_Etc93	Experiment209
																													
4.0	mM 																0.12434924308226097								mM 	concentration	rat	Trus1979_Etc94	Experiment210
16.0	mM 																0.3323709584184253								mM 	concentration	rat	Trus1979_Etc94	Experiment210
																													
2.4	mM 																0.1611706911458118								mM 	concentration	rat	Trus1980_Etc113	Experiment211
																													
2.4	mM 																0.17126740798024143								mM 	concentration	rat	Trus1980_Etc114	Experiment212
14.5	mM 																0.2817647698053564								mM 	concentration	rat	Trus1980_Etc114	Experiment212
																													
2.4	mM 																0.1611706911458118								mM 	concentration	rat	Trus1980_Etc129	Experiment213
																													
2.4	mM 																0.15650977090294552								mM 	concentration	rat	Trus1980_Etc130	Experiment214
8.6	mM 																0.2351581259277156								mM 	concentration	rat	Trus1980_Etc130	Experiment214
																													
1.67	mM 																	0.7579160990892998							mM 	concentration	rat	Ammon1979_Ess6	Experiment215
11.1	mM 																	1.133535311193028							mM 	concentration	rat	Ammon1979_Ess6	Experiment215
																													
2.8	mM 																	1.0025059745095437							mM 	concentration	rat	Ammon1998_Ess14	Experiment216
8.3	mM 																	0.957900836518822							mM 	concentration	rat	Ammon1998_Ess14	Experiment216
11.1	mM 																	1.0196402655261507							mM 	concentration	rat	Ammon1998_Ess14	Experiment216
16.7	mM 																	1.1140221517094178							mM 	concentration	rat	Ammon1998_Ess14	Experiment216
28.0	mM 																	1.1896769442494868							mM 	concentration	rat	Ammon1998_Ess14	Experiment216
																													
2.8	mM 																	0.9642388863462642							mM 	concentration	rat	Ammon1998_Ess18	Experiment217
8.3	mM 																	1.0642340301155064							mM 	concentration	rat	Ammon1998_Ess18	Experiment217
11.1	mM 																	1.0142364582308854							mM 	concentration	rat	Ammon1998_Ess18	Experiment217
16.7	mM 																	1.0999465814616616							mM 	concentration	rat	Ammon1998_Ess18	Experiment217
28.0	mM 																	1.1642291738847488							mM 	concentration	rat	Ammon1998_Ess18	Experiment217
																													
0.0	mM 																	0.7038672924745533							mM 	concentration	rat	Malaisse1977_Ess117	Experiment218
11.1	mM 																	1.1695680086435176							mM 	concentration	rat	Malaisse1977_Ess117	Experiment218
27.8	mM 																	1.1164058264324486							mM 	concentration	rat	Malaisse1977_Ess117	Experiment218
																													
0.0	mM 																	0.8277021881444359							mM 	concentration	rat	Sener1978_Ess173	Experiment219
16.7	mM 																	1.1128556858893182							mM 	concentration	rat	Sener1978_Ess173	Experiment219
																													
1.67	mM 																	0.7579160990892998							mM 	concentration	rat	Ammon1979_Etc14	Experiment220
11.1	mM 																	1.133535311193028							mM 	concentration	rat	Ammon1979_Etc14	Experiment220
																													
1.67	mM 																		0.2829058164961506						dimensionless	ratio	rat	Ammon1979_Ess7	Experiment221
11.1	mM 																		0.3300567859121757						dimensionless	ratio	rat	Ammon1979_Ess7	Experiment221
																													
2.8	mM 																		0.21774165168907453						dimensionless	ratio	rat	Ammon1998_Ess15	Experiment222
8.3	mM 																		0.34570881682465326						dimensionless	ratio	rat	Ammon1998_Ess15	Experiment222
11.1	mM 																		0.36364576223002515						dimensionless	ratio	rat	Ammon1998_Ess15	Experiment222
16.7	mM 																		0.4952382149134791						dimensionless	ratio	rat	Ammon1998_Ess15	Experiment222
28.0	mM 																		0.42519087765763464						dimensionless	ratio	rat	Ammon1998_Ess15	Experiment222
																													
2.8	mM 																		0.31548428926755595						dimensionless	ratio	rat	Ammon1998_Ess19	Experiment223
8.3	mM 																		0.31548428926755484						dimensionless	ratio	rat	Ammon1998_Ess19	Experiment223
11.1	mM 																		0.3486931618220347						dimensionless	ratio	rat	Ammon1998_Ess19	Experiment223
16.7	mM 																		0.40514824516465						dimensionless	ratio	rat	Ammon1998_Ess19	Experiment223
28.0	mM 																		0.47156599027360857						dimensionless	ratio	rat	Ammon1998_Ess19	Experiment223
																													
1.0	mM 																		0.07829376321007787						dimensionless	ratio	cell line	Guay2013_Ess61	Experiment224
10.0	mM 																		0.437587060133038						dimensionless	ratio	cell line	Guay2013_Ess61	Experiment224
																													
1.0	mM 																		0.09999336895063386						mM 	ratio	cell line	Guay2013_Ess67	Experiment225
10.0	mM 																		0.4324713207114914						mM 	ratio	cell line	Guay2013_Ess67	Experiment225
																													
3.0	mM 																		0.3660860003393818						dimensionless	ratio	rat	Hedeskov1987_Ess74	Experiment226
20.0	mM 																		0.3699805322578859						dimensionless	ratio	rat	Hedeskov1987_Ess74	Experiment226
																													
0.0	mM 																		0.16106162365564022						dimensionless	ratio	rat	Malaisse1977_Ess118	Experiment227
11.1	mM 																		0.4385831905699741						dimensionless	ratio	rat	Malaisse1977_Ess118	Experiment227
27.8	mM 																		0.3667249277082269						dimensionless	ratio	rat	Malaisse1977_Ess118	Experiment227
																													
1.67	mM 																		0.2829058164961506						dimensionless	concentration	rat	Ammon1979_Etc15	Experiment228
11.1	mM 																		0.3300567859121757						dimensionless	concentration	rat	Ammon1979_Etc15	Experiment228
																													
2.0	mM 																			0.5629201625722572					mM 	concentration	rat	Ewart1983_Ess50	Experiment229
20.0	mM 																			0.760232384504801					mM 	concentration	rat	Ewart1983_Ess50	Experiment229
																													
0.0	mM 																			0.48252090297056044					mM 	concentration	rat	Sugden1977_Ess185	Experiment230
2.8	mM 																			0.5403982472642912					mM 	concentration	rat	Sugden1977_Ess185	Experiment230
16.7	mM 																			0.7480017648396302					mM 	concentration	rat	Sugden1977_Ess185	Experiment230
																													
2.8	mM 																			0.41511577187914817					dimensionless	fold change	cell line	Spegel2013_Etc58	Experiment231
16.7	mM 																			0.8152273592325411					dimensionless	fold change	cell line	Spegel2013_Etc58	Experiment231
																													
2.8	mM 																			0.16675820634499824					dimensionless	fold change	cell line	Spegel2015_Etc70	Experiment232
16.7	mM 																			0.8576136326314123					dimensionless	fold change	cell line	Spegel2015_Etc70	Experiment232
																													
2.8	mM 																				0.16211993933401964				dimensionless	fold change	cell line	Spegel2013_Etc60	Experiment233
16.7	mM 																				0.39455696078881813				dimensionless	fold change	cell line	Spegel2013_Etc60	Experiment233
																													
2.8	mM 																				0.11880890411630508				dimensionless	fold change	cell line	Spegel2015_Etc71	Experiment234
16.7	mM 																				0.4096858762631203				dimensionless	fold change	cell line	Spegel2015_Etc71	Experiment234
																													
16.7	mM 																					1.373624895526258			dimensionless	fold change	cell line	Malmgren2013_Ess143	Experiment235
																													
16.7	mM 																					1.3736248955262582			dimensionless	fold change	cell line	Spegel2015_Ess181	Experiment236
																													
2.0	mM 																					0.8415039783243898			dimensionless	fold change	cell line	Huang2014_Etc52	Experiment237
																													
2.0	mM 																					0.8095508900008593			dimensionless	fold change	cell line	Huang2014_Etc53	Experiment238
16.7	mM 																					1.2742947253424834			dimensionless	fold change	cell line	Huang2014_Etc53	Experiment238
																													
2.8	mM 																					0.2522768226020064			dimensionless	fold change	cell line	Spegel2013_Etc61	Experiment239
16.7	mM 																					1.412448078639976			dimensionless	fold change	cell line	Spegel2013_Etc61	Experiment239
																													
2.8	mM 																					0.6448303152690131			dimensionless	fold change	cell line	Spegel2015_Etc67	Experiment240
16.7	mM 																					1.285764374856641			dimensionless	fold change	cell line	Spegel2015_Etc67	Experiment240
																													
2.8	mM 																					0.11834655978782363			dimensionless	fold change	cell line	Spegel2015_Etc72	Experiment241
16.7	mM 																					1.4032520660557315			dimensionless	fold change	cell line	Spegel2015_Etc72	Experiment241
																													
4.0	mM 																						9.623627254104822		mM 	concentration	rat	Trus1979_Etc95	Experiment242
																													
4.0	mM 																						8.860148290045974		mM 	concentration	rat	Trus1979_Etc96	Experiment243
16.0	mM 																						8.407353913764698		mM 	concentration	rat	Trus1979_Etc96	Experiment243
																													
2.4	mM 																						10.686104893071143		mM 	concentration	rat	Trus1980_Etc111	Experiment244
																													
2.4	mM 																						10.810560608295528		mM 	concentration	rat	Trus1980_Etc112	Experiment245
14.5	mM 																						6.506993487158762		mM 	concentration	rat	Trus1980_Etc112	Experiment245
																													
2.4	mM 																						10.68610489307114		mM 	concentration	rat	Trus1980_Etc127	Experiment246
																													
2.4	mM 																						10.894411892747401		mM 	concentration	rat	Trus1980_Etc128	Experiment247
8.6	mM 																						7.6750063030728235		mM 	concentration	rat	Trus1980_Etc128	Experiment247
																													
2.0	mM 																							0.5479265523945699	mM	concentration	rat	Ashcroft1979_Ess28	Experiment248
20.0	mM 																							0.6910416966767335	mM	concentration	rat	Ashcroft1979_Ess28	Experiment248
																													
10.0	mM 																							0.5963544955005057	mM 	concentration	cell line	Guay2013_Ess62	Experiment249
																													
10.0	mM 																							0.5963544955005057	mM 	concentration	cell line	Guay2013_Ess68	Experiment250
																													
3.0	mM 																							0.5952233623786601	mM 	concentration	rat	Hedeskov1987_Ess76	Experiment251
7.0	mM 																							0.5824228599619148	mM 	concentration	rat	Hedeskov1987_Ess76	Experiment251
20.0	mM 																							0.6912271305042504	mM 	concentration	rat	Hedeskov1987_Ess76	Experiment251
																													
5.5	mM 																							0.5813322879698594	mM 	concentration	rat	Liu2004_Ess94	Experiment252
16.7	mM 																							0.6894871322433178	mM 	concentration	rat	Liu2004_Ess94	Experiment252
																													
5.5	mM 																							0.6018159017571085	mM 	concentration	rat	Liu2004_Ess102	Experiment253
16.7	mM 																							0.6582361425468376	mM 	concentration	rat	Liu2004_Ess102	Experiment253
																													
5.5	mM 																							0.46518106925143465	mM 	concentration	rat	Liu2004_Ess106	Experiment254
16.7	mM 																							0.819604741062053	mM 	concentration	rat	Liu2004_Ess106	Experiment254
																													
3.0	mM 																							0.0	dimensionless	fold change	cell line	Malinowski2020_Ess138	Experiment255
7.0	mM 																							0.028570344811629223	dimensionless	fold change	cell line	Malinowski2020_Ess138	Experiment255
11.7	mM 																							0.24760965503412166	dimensionless	fold change	cell line	Malinowski2020_Ess138	Experiment255
17.0	mM 																							0.9404405167161377	dimensionless	fold change	cell line	Malinowski2020_Ess138	Experiment255
35.0	mM 																							1.3904234474992996	dimensionless	fold change	cell line	Malinowski2020_Ess138	Experiment255
																													
16.7	mM 																							0.825751078402544	dimensionless	fold change	cell line	Malmgren2013_Ess144	Experiment256
																													
16.7	mM 																							0.8257510784025439	dimensionless	fold change	cell line	Spegel2015_Ess182	Experiment257
																													
2.0	mM 																							0.4372201071420351	dimensionless	fold change	cell line	Huang2014_Etc50	Experiment258
																													
2.0	mM 																							0.2581458539843148	dimensionless	fold change	cell line	Huang2014_Etc51	Experiment259
16.7	mM 																							0.9067849902989584	dimensionless	fold change	cell line	Huang2014_Etc51	Experiment259
																													
2.8	mM 																							0.316641978405631	dimensionless	fold change	cell line	Spegel2013_Etc59	Experiment260
16.7	mM 																							0.8721874854286856	dimensionless	fold change	cell line	Spegel2013_Etc59	Experiment260
																													
